exercise	missing_kcs
py_bmi_calculator2	['round']
ps_return_bigger_or_none	['PassStatement']
q_py_topic_lists:q_py_list_remove1	['pop']
py_search_list_count_each	['index']
ps_python_string_join	['join', 'capitalize']
ps_python_dict_values	['values']
ps_python_list_to_dict	['dict', 'get']
ps_python_dict_filter	['items']
py_char_dict	['AddingItemToDictionary']
ps_python_try_except	['RaiseStatement']
ps_python_try_adding	['TypeError']
ps_python_printing_file_contents	['OSError', 'readline']
ae_adl_file2	['rstrip']
q_py_topic_file_processing:q_py_file1	['read']
